email,userName,first name,last name,password,birthday,user_since,host_since,host_location,about,responseTime,host_response_rate,host_is_superhost,img,host_identity_verified
Mo73@gmail.com,Mo73,Mo,Mo,12345678,3/13/1956,6/18/2015,6/18/2015,"Amsterdam, North Holland, Netherlands",I like photography and love cooking together with my wife who is much more passionate about cooking than I am :-),a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/e602696d-3354-4eee-aed1-d0119d1bcb02.jpg?aki_policy=profile_x_medium,t
Stephan74@gmail.com,Stephan74,Stephan,Stephan,12345678,3/14/1956,10/26/2011,10/26/2011,"Amsterdam, Noord-Holland, The Netherlands","Hi We are 31 and 30 years old and enjoy living in Amsterdam. We fell in love with this city the moment we came to live here and never left. Because we love the to enjoy the city as much as possible we love living in the city center. Our apartment is really quite though. So your sleeping night will not be interrupted. 

We would love to welcome you in our beloved home and give you some tips about exploring the city. 

See you in Amsterdam!",within a few hours,100%,f,https://a0.muscache.com/im/users/1336633/profile_pic/1328463417/original.jpg?aki_policy=profile_x_medium,f
Myrthe75@gmail.com,Myrthe75,Myrthe,Myrthe,12345678,3/15/1956,4/29/2019,4/29/2019,"Amsterdam, North Holland, Netherlands",I am Greek and live with my dutch husband in Amsterdam since 2001. We love to travel and Greece is off course our favourite destination. Cooking is what I love to do  and in my kitchen you will find all you need for home cooking.,a few days or more,100%,f,https://a0.muscache.com/im/users/3136773/profile_pic/1412773858/original.jpg?aki_policy=profile_x_medium,t
Reinier76@gmail.com,Reinier76,Reinier,Reinier,12345678,3/16/1956,8/12/2015,8/12/2015,"Amsterdam, North Holland, Netherlands",We are Demian & Eunice. Demian from Argentina Patagonia and Eunice from Holland. We live in a lovely little paradise in Amsterdam and enjoy this beautiful city every minute we are there!!,a few days or more,75%,f,https://a0.muscache.com/im/users/38144075/profile_pic/1436612137/original.jpg?aki_policy=profile_x_medium,f
JanJaap77@gmail.com,JanJaap77,Jan Jaap,Jan Jaap,12345678,3/17/1956,9/1/2015,9/1/2015,"Amsterdam, North Holland, Netherlands",,a few days or more,100%,f,https://a0.muscache.com/im/pictures/user/7d324029-3abd-4a93-b0d8-b7edf21f944e.jpg?aki_policy=profile_x_medium,f
HsiuYen78@gmail.com,HsiuYen78,Hsiu Yen,Hsiu Yen,12345678,3/18/1956,1/31/2019,1/31/2019,NL,"Hello we are a happy family in Amsterdam-East :-)
Our kids are now 8 10 and 12 years old. When we travel abroad or enjoy beautiful other parts of the Lowlands we like to share our place

",within an hour,100%,f,https://a0.muscache.com/im/pictures/user/9fb917de-3cfb-4ace-9027-b4053c6a9a7d.jpg?aki_policy=profile_x_medium,t
Wouter79@gmail.com,Wouter79,Wouter,Wouter,12345678,3/19/1956,12/17/2013,12/17/2013,"De Pijp, North Holland, The Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/users/1811434/profile_pic/1431984305/original.jpg?aki_policy=profile_x_medium,t
Csenge80@gmail.com,Csenge80,Csenge,Csenge,12345678,3/20/1956,8/20/2017,8/20/2017,"Amsterdam-Zuidoost, North Holland, Netherlands",,a few days or more,100%,f,https://a0.muscache.com/im/users/43322873/profile_pic/1441356028/original.jpg?aki_policy=profile_x_medium,t
NovaTeam81@gmail.com,NovaTeam81,Nova Team,Nova Team,12345678,3/21/1956,12/19/2012,12/19/2012,"Amsterdam, Noord-Holland, The Netherlands",Traveller.  Digital Nomad. ,a few days or more,91%,f,https://a0.muscache.com/im/pictures/user/ff619140-f330-49f0-b09a-010849cbaa22.jpg?aki_policy=profile_x_medium,t
Ireen82@gmail.com,Ireen82,Ireen,Ireen,12345678,3/22/1956,9/30/2013,9/30/2013,"Amsterdam, North Holland, Netherlands","Hi my name is Merijn living in Amsterdam for 11 years. I really enjoy this vibrant city that surprises me again and again.
In 2014 I bought my own house and that's a joy. Because I are not at home all the time I thought about sharing my house with you the travellers. My crib is close to the city centre but in a quiet and green environment. My style of living is quite simple not too much clutter around the house. Just the things you need and some inspiring/funny decorations and lovely plants.
My hobbies: friends family music enjoying food and drinks to enjoy the small things. And of course travelling. I have been to several parts of the world also for longer periods of time. 
I speak English some Spanish Dutch and some German.
I would love to meet new people from around the world so be my guest!
Greetings
Merijn",within a few hours,75%,f,https://a0.muscache.com/im/users/9135853/profile_pic/1437660026/original.jpg?aki_policy=profile_x_medium,f
Rick83@gmail.com,Rick83,Rick,Rick,12345678,3/23/1956,4/10/2014,4/10/2014,"Amsterdam, North Holland, Netherlands","Hi there hello I'm Mark.

A welcoming Dutch guy gay easygoing and with a broad interest.

Have been hosting via Airbnb for some time now and so far it has been an awesome experience. It's lovely to share this unique location and meet all kinds of super-nice people from across the globe.

If you have any questions please feel free to ask.

Feel welcome at home and maybe see you soon ;)",within a few hours,100%,t,https://a0.muscache.com/im/pictures/user/916415ab-d6b0-4ff7-a4fc-d26311716367.jpg?aki_policy=profile_x_medium,f
Lies84@gmail.com,Lies84,Lies,Lies,12345678,3/24/1956,10/13/2015,10/13/2015,"Amsterdam, North Holland, Netherlands",Anita and Paul are both journalists. We make a lot of radioreports abroad especially in Eastern Europe. We are very interested in culture and love to give people information about the cultural events in Amsterdam.,within a few hours,100%,f,https://a0.muscache.com/im/pictures/user/74aaf538-c463-4b66-9827-db8c6a24e852.jpg?aki_policy=profile_x_medium,f
Chantal85@gmail.com,Chantal85,Chantal,Chantal,12345678,3/25/1956,10/15/2019,10/15/2019,NL,Languages: English Deutsch FranÁais Romanes i malo Srpski/Hrvatski.,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/cf644062-4f6e-43c7-8e0e-9c07d4a27910.jpg?aki_policy=profile_x_medium,t
L86@gmail.com,L86,L,L,12345678,3/26/1956,8/12/2015,8/12/2015,"Amsterdam, North Holland, Netherlands",,within an hour,100%,f,https://a0.muscache.com/im/pictures/user/37740c2f-b4a7-4516-a8b6-e156fbe256f5.jpg?aki_policy=profile_x_medium,t
Jona87@gmail.com,Jona87,Jona,Jona,12345678,3/27/1956,8/17/2014,8/17/2014,"Amsterdam, North Holland, The Netherlands",A travel enthusiast currently making a stop in Amsterdam. ,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/8ffb50b0-0f2b-41fd-9009-1acf2d7c8511.jpg?aki_policy=profile_x_medium,t
Marte88@gmail.com,Marte88,Marte,Marte,12345678,3/28/1956,10/7/2011,10/7/2011,"Amsterdam, Noord-Holland, The Netherlands",,within an hour,75%,f,https://a0.muscache.com/im/users/5917557/profile_pic/1397159499/original.jpg?aki_policy=profile_x_medium,t
AliceAndRo89@gmail.com,AliceAndRo89,Alice And Ro,Alice And Ro,12345678,3/29/1956,7/1/2015,7/1/2015,"Amsterdam, North Holland, Netherlands",,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/1f2c9120-4c18-411d-9d0e-2d9de8a3678f.jpg?aki_policy=profile_x_medium,f
Philip90@gmail.com,Philip90,Philip,Philip,12345678,3/30/1956,12/14/2019,12/14/2019,Netherlands,"I am a former journalist especially interested in sustainability and the environment yoga and mindfulness the non-profit sector international affairs development journalism travelling delicious cooking etc etc 
A couple of times per year my home is available for home exchange and -more rarely- to stay via airbnb. 

After almost 15 years I still love Amsterdam like the first day there is so much happening and so much to discover...you will find a dozen Amsterdam guides at my place... a I wrote a mini city guide myself a few years ago.
",within a day,75%,f,https://a0.muscache.com/im/pictures/user/90b926c4-c0af-464f-b986-6ab18c2b9345.jpg?aki_policy=profile_x_medium,t
Raymond91@gmail.com,Raymond91,Raymond,Raymond,12345678,3/31/1956,4/25/2012,4/25/2012,"Amsterdam, Noord-Holland, The Netherlands",,within a day,75%,f,https://a0.muscache.com/im/pictures/user/00f9d4e7-a503-46b6-9f1e-c04e8c4bccd2.jpg?aki_policy=profile_x_medium,t
Nasrien92@gmail.com,Nasrien92,Nasrien,Nasrien,12345678,4/1/1956,2/16/2016,2/16/2016,NL,,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/7243cac1-fcea-4cea-b863-40ede5251b8c.jpg?aki_policy=profile_x_medium,f
Willie93@gmail.com,Willie93,Willie,Willie,12345678,4/2/1956,4/23/2017,4/23/2017,NL,,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/c728fbf2-5c4c-4245-927b-fab21338763d.jpg?aki_policy=profile_x_medium,f
Reinier94@gmail.com,Reinier94,Reinier,Reinier,12345678,4/3/1956,12/2/2014,12/2/2014,"Amsterdam, North Holland, Netherlands",Hi we are Anouk and Ruben. Two students in philosophy. We enjoy living in our appartment a lot but it also comes at quite a high rent. To help out with this we rent out via airbnb once in a while.,a few days or more,75%,f,https://a0.muscache.com/im/users/38144075/profile_pic/1436612137/original.jpg?aki_policy=profile_x_medium,t
Ellen95@gmail.com,Ellen95,Ellen,Ellen,12345678,4/4/1956,7/10/2013,7/10/2013,"Amsterdam, North Holland, The Netherlands",,within a few hours,75%,f,https://a0.muscache.com/im/pictures/user/ba7db908-3843-4e4a-a1aa-7a7e581666e9.jpg?aki_policy=profile_x_medium,f
Mike96@gmail.com,Mike96,Mike,Mike,12345678,4/5/1956,12/3/2019,12/3/2019,NL,I study Chemistry in Amsterdam and am originally from Germany.,a few days or more,100%,t,https://a0.muscache.com/im/pictures/user/9f0c2db1-b18b-4a12-ad88-ae6ce3dff030.jpg?aki_policy=profile_x_medium,t
Marc97@gmail.com,Mar-97,Marc,Marc,12345678,4/6/1956,4/23/2015,4/23/2015,"Amsterdam, North Holland, Netherlands",,within a few hours,75%,f,https://a0.muscache.com/im/pictures/user/b586de23-ac4a-40bf-a9da-e2cba2fc9a25.jpg?aki_policy=profile_x_medium,t
Marike98@gmail.com,Marike98,Marike,Marike,12345678,4/7/1956,6/20/2013,6/20/2013,"Amsterdam, North Holland, Netherlands",Friendly very neat and clean and wants to make our guest feel both at home and on vacation. Everything you need will be here!,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/0ef00120-ed82-456e-ae58-cfa744a086ca.jpg?aki_policy=profile_x_medium,t
BellsBoutiqueHotel99@gmail.com,BellsBoutiqueHotel99,Bells Boutique Hotel,Bells Boutique Hotel,12345678,4/8/1956,1/5/2021,1/5/2021,"Amsterdam, Noord-Holland, Netherlands","I have been a Superhost for 7 years hosting homes in Cape Town & Amsterdam.
Passionate about people and the beautiful city I am blessed to live in. 
Ubuntu - I am me because of you. 
",a few days or more,100%,t,https://a0.muscache.com/im/pictures/user/664132b7-7cfc-44d0-b6ee-0ec9dab300d0.jpg?aki_policy=profile_x_medium,t
Mel100@gmail.com,Mel100,Mel,Mel,12345678,4/9/1956,8/6/2013,8/6/2013,"Amsterdam, North Holland, Netherlands",I like it when more people can enjoy the wonderful home that I own. While in Amsterdam you will experience the peace and tranquility that you normally only find outside the city. ,a few days or more,75%,f,https://a0.muscache.com/im/pictures/user/c5f9cb94-073d-495e-8543-459c92896b1c.jpg?aki_policy=profile_x_medium,f
